Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
PNJ,1/2/2021,59417,60070,56519,57099,800930,0
PNJ,2/2/2021,56519,59345,56374,59055,799730,0
PNJ,3/2/2021,60504,60504,58983,60070,852930,0
PNJ,4/2/2021,59997,60070,58693,60070,866130,0
PNJ,5/2/2021,60070,60867,59345,60794,827470,0
PNJ,8/2/2021,60794,60867,57968,58620,858800,0
PNJ,9/2/2021,59780,60722,57968,60577,696800,0
PNJ,17/02/2021,60867,63040,60577,62678,1120000,0
PNJ,18/02/2021,63040,63403,62026,63403,1160000,0
PNJ,19/02/2021,63040,63403,62316,62968,613200,0
PNJ,22/02/2021,62316,62678,61446,61664,887600,0
PNJ,23/02/2021,61591,61591,60215,60504,1390000,0
PNJ,24/02/2021,60504,61157,59562,59997,749870,0
PNJ,25/02/2021,60142,60867,59997,60867,569470,0
PNJ,26/02/2021,61519,61664,60504,61519,772530,0
PNJ,1/3/2021,62316,62316,60939,61374,642670,0
PNJ,2/3/2021,61591,61591,60722,60867,423470,0
PNJ,3/3/2021,61591,61736,61157,61301,701470,0
PNJ,4/3/2021,62316,62316,60142,60722,494800,0
PNJ,5/3/2021,60070,60867,59780,60722,386670,0
PNJ,8/3/2021,60722,60867,60142,60577,469600,0
PNJ,9/3/2021,60215,60577,59925,60504,382670,0
PNJ,10/3/2021,60794,61012,60142,60577,388800,0
PNJ,11/3/2021,61229,61229,60577,60867,309730,0
PNJ,12/3/2021,61012,61229,60577,60577,261870,0
PNJ,15/03/2021,61821,61821,61235,61528,685200,0
PNJ,16/03/2021,61382,61528,60869,61089,345730,0
PNJ,17/03/2021,61382,61382,60943,61162,295870,0
PNJ,18/03/2021,61235,62113,61162,62113,446670,0
PNJ,19/03/2021,61455,62040,61455,61894,463330,0
PNJ,22/03/2021,61894,61967,61382,61601,477070,0
PNJ,23/03/2021,61601,62186,61089,61601,298530,0
PNJ,24/03/2021,61674,63284,61235,61528,872400,0
PNJ,25/03/2021,62552,62625,61308,62186,596800,0
PNJ,26/03/2021,60970.1,61914.8,58135.9,61696.8,484530,0
PNJ,29/03/2021,61769.4,62132.8,61260.8,61769.4,609470,0
PNJ,30/03/2021,63222.8,63222.8,57481.9,61406.1,577070,0
PNJ,31/03/2021,61406.1,61406.1,60897.4,61406.1,299070,0
PNJ,1/4/2021,61406.1,62423.5,61042.7,62132.8,709870,0
PNJ,2/4/2021,62496.1,65184.9,62496.1,64458.2,1430000,0
PNJ,5/4/2021,64312.9,65039.6,64312.9,64530.9,682400,0
PNJ,6/4/2021,64530.9,65039.6,64240.2,64676.2,651200,0
PNJ,7/4/2021,64022.2,64676.2,63804.2,64312.9,513730,0
PNJ,8/4/2021,64167.6,64312.9,63222.8,64312.9,521070,0
PNJ,9/4/2021,64022.2,65766.3,63949.5,65621,894930,0
PNJ,12/4/2021,65766.3,67219.7,65766.3,66711,892130,0
PNJ,13/04/2021,66638.3,67001.7,65402.9,65911.6,718670,0
PNJ,14/04/2021,65548.3,66493,64676.2,66493,654270,0
PNJ,15/04/2021,67219.7,68891.1,66493,66856.3,981070,0
PNJ,16/04/2021,66493,67873.7,63876.9,66057,945600,0
PNJ,19/04/2021,66856.3,68673.1,66565.7,68309.7,1850000,0
PNJ,20/04/2021,68382.4,69036.4,67583,68600.4,918530,0
PNJ,22/04/2021,68309.7,68527.7,67801.1,68237.1,945470,0
PNJ,23/04/2021,68237.1,70344.5,66493,69763.1,1790000,0
PNJ,26/04/2021,69763.1,69763.1,67946.4,69036.4,729730,0
PNJ,27/04/2021,66856.3,69763.1,66856.3,69763.1,686270,0
PNJ,28/04/2021,68019.1,69763.1,67873.7,69545.1,779070,0
